State,Years,Percentage,Race
Alaska,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Alaska,2018,7.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Alaska,2017,3.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Alaska,2016,4.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Alaska,2015,3.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2022,10.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2021,34.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2020,20.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2019,6.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2018,22.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2017,21.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2016,21.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arizona,2015,9.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2022,6.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2021,0.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2020,9.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2019,17.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2018,8.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2017,6.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Arkansas,2015,1.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2022,22.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2021,18.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2020,21.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2019,21.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2018,22.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2017,20.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2016,21.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
California,2015,17.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2022,47.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2021,18.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2020,25.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2019,16.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2018,26.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2017,24.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2016,18.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Colorado,2015,16.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2020,42.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Connecticut,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2020,12.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Delaware,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2020,34.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Florida,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2022,23.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2021,34.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2020,15.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2019,21.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2018,9.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2017,26.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2016,21.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Georgia,2015,26.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2022,26.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2021,20.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2020,12.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2019,16.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2018,0.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2017,17.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2016,18.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Hawaii,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2022,13.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2021,8.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2020,12.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2019,10.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2018,11.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2017,12.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2016,11.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Idaho,2015,12.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2020,11.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Illinois,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2022,12.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2021,27.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2020,26.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2019,34.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2018,50.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2017,22.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2016,23.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Indiana,2015,12.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2020,19.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2018,25.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Iowa,2015,37.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2022,5.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2021,13.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2020,17.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2017,7.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2016,9.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kansas,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2020,19.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Kentucky,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2020,7.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2018,0.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Louisiana,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2020,33.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maine,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2020,0.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Maryland,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2020,27.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2018,33.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Massachusetts,2015,35.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2020,35.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2018,33.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Michigan,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2021,37.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2020,24.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2018,20.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2017,53.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2016,12.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Minnesota,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2022,3.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2020,19.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2018,24.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Mississippi,2015,47.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2020,2.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Missouri,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2022,6.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2021,20.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2020,16.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2019,14.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2018,30.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2017,13.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2016,23.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Montana,2015,29.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2020,22.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nebraska,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2020,14.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Nevada,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2022,21.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2021,24.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2020,14.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2019,18.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2018,16.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2017,11.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2016,12.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Hampshire,2015,7.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2020,46.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Jersey,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2021,33.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2020,34.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2017,30.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New Mexico,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2020,19.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
New York,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2022,21.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2021,10.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2020,24.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2019,12.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2018,17.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2017,33.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2016,33.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Carolina,2015,33.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2022,27.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2021,11.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2020,21.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2019,30.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2018,21.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2017,34.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2016,17.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
North Dakota,2015,6.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2020,27.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Ohio,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2022,42.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2021,31.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2020,34.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2019,52.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2018,17.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2017,35.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2016,41.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oklahoma,2015,11.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2022,5.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2021,15.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2020,11.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2019,11.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2018,12.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2017,4.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2016,9.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Oregon,2015,7.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2022,9.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2021,16.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2020,25.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2019,20.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2018,13.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2017,13.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2016,23.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Pennsylvania,2015,15.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2022,53.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2021,28.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2020,29.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2019,26.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2018,27.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2017,12.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2016,40.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Rhode Island,2015,29.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2020,60.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Carolina,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2020,13.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2018,8.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
South Dakota,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2020,13.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Tennessee,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2022,19.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2021,4.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2020,23.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2017,28.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2016,33.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Texas,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2022,18.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2021,33.00%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2020,18.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2019,17.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2018,20.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2017,19.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2016,14.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Utah,2015,17.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2022,23.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2021,25.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2020,16.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2019,19.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2018,16.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2017,10.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2016,10.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Vermont,2015,18.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2020,33.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Virginia,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Washington,2022,36.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
