State,Years,Male_P_Bach,Female_P_Bach,Race
Nebraska,2015,49.40%,57.90%,Asian Alone
Nevada,2022,55.00%,50.70%,Asian Alone
Nevada,2021,45.00%,37.50%,Asian Alone
Nevada,2020,48.20%,44.50%,Asian Alone
Nevada,2019,45.60%,48.60%,Asian Alone
Nevada,2018,46.60%,39.80%,Asian Alone
Nevada,2017,53.70%,47.00%,Asian Alone
Nevada,2016,45.70%,39.50%,Asian Alone
Nevada,2015,61.50%,41.00%,Asian Alone
New Hampshire,2022,38.20%,41.90%,Asian Alone
New Hampshire,2021,40.10%,41.50%,Asian Alone
New Hampshire,2020,41.30%,41.50%,Asian Alone
New Hampshire,2019,42.50%,43.30%,Asian Alone
New Hampshire,2018,37.80%,38.20%,Asian Alone
New Hampshire,2017,41.00%,39.30%,Asian Alone
New Hampshire,2016,37.10%,37.90%,Asian Alone
New Hampshire,2015,36.70%,36.30%,Asian Alone
New Jersey,2022,73.90%,66.50%,Asian Alone
New Jersey,2021,64.50%,57.60%,Asian Alone
New Jersey,2020,64.60%,53.30%,Asian Alone
New Jersey,2019,67.30%,62.00%,Asian Alone
New Jersey,2018,64.10%,57.80%,Asian Alone
New Jersey,2017,61.70%,59.60%,Asian Alone
New Jersey,2016,56.80%,53.00%,Asian Alone
New Jersey,2015,70.50%,65.20%,Asian Alone
New Mexico,2022,74.20%,70.30%,Asian Alone
New Mexico,2021,74.30%,69.50%,Asian Alone
New Mexico,2020,73.90%,68.40%,Asian Alone
New Mexico,2019,73.90%,69.50%,Asian Alone
New Mexico,2018,74.30%,68.80%,Asian Alone
New Mexico,2017,73.30%,67.20%,Asian Alone
New Mexico,2016,72.10%,66.10%,Asian Alone
New Mexico,2015,70.20%,65.20%,Asian Alone
New York,2022,57.30%,53.10%,Asian Alone
New York,2021,52.80%,52.40%,Asian Alone
New York,2020,60.20%,49.10%,Asian Alone
New York,2019,57.50%,45.00%,Asian Alone
New York,2018,66.30%,45.20%,Asian Alone
New York,2017,66.20%,56.80%,Asian Alone
New York,2016,55.70%,45.80%,Asian Alone
New York,2015,43.50%,44.90%,Asian Alone
North Carolina,2022,49.20%,48.30%,Asian Alone
North Carolina,2021,49.80%,49.10%,Asian Alone
North Carolina,2020,48.10%,47.70%,Asian Alone
North Carolina,2019,47.20%,48.30%,Asian Alone
North Carolina,2018,49.30%,47.80%,Asian Alone
North Carolina,2017,45.20%,44.70%,Asian Alone
North Carolina,2016,46.50%,45.80%,Asian Alone
North Carolina,2015,47.10%,46.30%,Asian Alone
North Dakota,2022,63.60%,57.70%,Asian Alone
North Dakota,2021,67.70%,59.00%,Asian Alone
North Dakota,2020,63.90%,55.70%,Asian Alone
North Dakota,2019,63.30%,54.30%,Asian Alone
North Dakota,2018,63.50%,56.10%,Asian Alone
North Dakota,2017,63.10%,56.50%,Asian Alone
North Dakota,2016,61.70%,53.10%,Asian Alone
North Dakota,2015,58.30%,52.00%,Asian Alone
Ohio,2022,68.10%,61.60%,Asian Alone
Ohio,2021,62.30%,52.90%,Asian Alone
Ohio,2020,54.50%,50.90%,Asian Alone
Ohio,2019,36.90%,45.60%,Asian Alone
Ohio,2018,53.00%,42.30%,Asian Alone
Ohio,2017,77.90%,61.20%,Asian Alone
Ohio,2016,51.60%,43.30%,Asian Alone
Ohio,2015,43.00%,30.80%,Asian Alone
Oklahoma,2022,62.10%,55.80%,Asian Alone
Oklahoma,2021,63.20%,54.60%,Asian Alone
Oklahoma,2020,65.50%,56.00%,Asian Alone
Oklahoma,2019,68.10%,57.70%,Asian Alone
Oklahoma,2018,64.60%,55.40%,Asian Alone
Oklahoma,2017,69.00%,56.00%,Asian Alone
Oklahoma,2016,63.60%,55.30%,Asian Alone
Oklahoma,2015,65.20%,55.90%,Asian Alone
Oregon,2022,47.70%,43.60%,Asian Alone
Oregon,2021,45.60%,42.00%,Asian Alone
Oregon,2020,44.30%,40.60%,Asian Alone
Oregon,2019,47.00%,40.20%,Asian Alone
Oregon,2018,51.00%,47.00%,Asian Alone
Oregon,2017,45.50%,37.80%,Asian Alone
Oregon,2016,46.80%,41.30%,Asian Alone
Oregon,2015,41.80%,40.00%,Asian Alone
Pennsylvania,2022,57.40%,56.80%,Asian Alone
Pennsylvania,2021,55.80%,49.10%,Asian Alone
Pennsylvania,2020,55.80%,52.20%,Asian Alone
Pennsylvania,2019,57.40%,51.40%,Asian Alone
Pennsylvania,2018,52.20%,49.10%,Asian Alone
Pennsylvania,2017,56.40%,51.80%,Asian Alone
Pennsylvania,2016,52.60%,49.50%,Asian Alone
Pennsylvania,2015,52.30%,46.60%,Asian Alone
Rhode Island,2022,60.60%,54.30%,Asian Alone
Rhode Island,2021,59.60%,55.30%,Asian Alone
Rhode Island,2020,59.80%,53.30%,Asian Alone
Rhode Island,2019,61.00%,53.50%,Asian Alone
Rhode Island,2018,60.30%,54.00%,Asian Alone
Rhode Island,2017,59.40%,52.70%,Asian Alone
Rhode Island,2016,60.10%,51.00%,Asian Alone
Rhode Island,2015,57.40%,50.40%,Asian Alone
South Carolina,2022,61.30%,49.20%,Asian Alone
South Carolina,2021,49.00%,44.90%,Asian Alone
South Carolina,2020,54.00%,54.00%,Asian Alone
South Carolina,2019,62.90%,43.60%,Asian Alone
South Carolina,2018,49.70%,50.40%,Asian Alone
South Carolina,2017,58.90%,56.00%,Asian Alone
South Carolina,2016,49.80%,50.20%,Asian Alone
South Carolina,2015,55.90%,54.40%,Asian Alone
South Dakota,2022,66.30%,51.90%,Asian Alone
South Dakota,2021,60.40%,45.20%,Asian Alone
South Dakota,2020,56.70%,49.30%,Asian Alone
South Dakota,2019,56.20%,47.40%,Asian Alone
South Dakota,2018,52.60%,51.50%,Asian Alone
South Dakota,2017,54.80%,46.70%,Asian Alone
South Dakota,2016,47.90%,41.80%,Asian Alone
South Dakota,2015,56.90%,41.00%,Asian Alone
Tennessee,2022,66.00%,44.10%,Asian Alone
Tennessee,2021,63.30%,51.20%,Asian Alone
Tennessee,2020,55.30%,42.50%,Asian Alone
Tennessee,2019,49.40%,38.20%,Asian Alone
Tennessee,2018,44.50%,41.00%,Asian Alone
Tennessee,2017,52.80%,39.20%,Asian Alone
Tennessee,2016,49.80%,35.40%,Asian Alone
Tennessee,2015,24.50%,39.50%,Asian Alone
Texas,2022,60.90%,53.80%,Asian Alone
Texas,2021,59.60%,51.40%,Asian Alone
Texas,2020,59.60%,53.20%,Asian Alone
Texas,2019,54.90%,50.10%,Asian Alone
Texas,2018,59.80%,48.30%,Asian Alone
Texas,2017,58.40%,57.10%,Asian Alone
Texas,2016,60.60%,50.80%,Asian Alone
Texas,2015,52.70%,46.60%,Asian Alone
Utah,2022,67.60%,59.80%,Asian Alone
Utah,2021,64.80%,58.70%,Asian Alone
Utah,2020,62.50%,56.50%,Asian Alone
Utah,2019,64.10%,57.40%,Asian Alone
Utah,2018,62.90%,57.30%,Asian Alone
Utah,2017,62.60%,56.20%,Asian Alone
Utah,2016,60.40%,53.40%,Asian Alone
Utah,2015,62.30%,53.60%,Asian Alone
Vermont,2022,50.20%,51.50%,Asian Alone
Vermont,2021,49.30%,42.50%,Asian Alone
Vermont,2020,52.40%,46.30%,Asian Alone
Vermont,2019,54.30%,55.50%,Asian Alone
Vermont,2018,50.90%,48.50%,Asian Alone
Vermont,2017,57.20%,47.10%,Asian Alone
Vermont,2016,50.30%,44.60%,Asian Alone
Vermont,2015,52.30%,44.80%,Asian Alone
Virginia,2022,54.50%,57.40%,Asian Alone
Virginia,2021,57.50%,48.70%,Asian Alone
Virginia,2020,56.90%,47.30%,Asian Alone
Virginia,2019,55.30%,44.30%,Asian Alone
Virginia,2018,65.60%,62.70%,Asian Alone
Virginia,2017,45.40%,36.00%,Asian Alone
Virginia,2016,60.90%,44.20%,Asian Alone
Virginia,2015,34.00%,46.70%,Asian Alone
Washington,2022,65.60%,61.90%,Asian Alone
Washington,2021,67.80%,63.50%,Asian Alone
Washington,2020,64.90%,58.10%,Asian Alone
Washington,2019,65.90%,58.90%,Asian Alone
Washington,2018,65.10%,60.00%,Asian Alone
Washington,2017,66.10%,57.00%,Asian Alone
Washington,2016,64.00%,55.80%,Asian Alone
Washington,2015,63.20%,55.00%,Asian Alone
West Virginia,2022,62.70%,57.00%,Asian Alone
West Virginia,2021,61.80%,57.40%,Asian Alone
West Virginia,2020,57.30%,52.20%,Asian Alone
West Virginia,2019,60.00%,52.80%,Asian Alone
West Virginia,2018,56.90%,52.10%,Asian Alone
West Virginia,2017,54.50%,49.40%,Asian Alone
West Virginia,2016,56.70%,49.30%,Asian Alone
West Virginia,2015,54.50%,48.80%,Asian Alone
Wisconsin,2022,73.40%,54.90%,Asian Alone
Wisconsin,2021,69.70%,53.40%,Asian Alone
Wisconsin,2020,71.30%,58.00%,Asian Alone
Wisconsin,2019,78.80%,57.40%,Asian Alone
Wisconsin,2018,67.60%,58.50%,Asian Alone
Wisconsin,2017,67.70%,46.50%,Asian Alone
Wisconsin,2016,80.60%,56.50%,Asian Alone
Wisconsin,2015,74.70%,63.30%,Asian Alone
Wyoming,2022,55.20%,50.50%,Asian Alone
Wyoming,2021,50.50%,47.70%,Asian Alone
Wyoming,2020,49.60%,48.10%,Asian Alone
Wyoming,2019,51.10%,44.40%,Asian Alone
Wyoming,2018,47.00%,43.30%,Asian Alone
Wyoming,2017,51.80%,51.40%,Asian Alone
Wyoming,2016,50.30%,46.40%,Asian Alone
Wyoming,2015,45.00%,43.40%,Asian Alone
Puerto Rico,2022,N,N,Asian Alone
Puerto Rico,2021,53.20%,46.90%,Asian Alone
Puerto Rico,2020,66.00%,51.20%,Asian Alone
Puerto Rico,2019,58.60%,35.30%,Asian Alone
Puerto Rico,2018,71.80%,73.00%,Asian Alone
Puerto Rico,2017,77.80%,38.40%,Asian Alone
Puerto Rico,2016,N,N,Asian Alone
Puerto Rico,2015,39.40%,30.60%,Asian Alone
Alabama,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Alabama,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Alabama,2020,30.20%,7.90%,Native Hawaiian and Other Pacific Islander Alone
Alabama,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Alabama,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Alabama,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Alabama,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Alabama,2015,13.60%,12.40%,Native Hawaiian and Other Pacific Islander Alone
Alaska,2022,2.40%,12.80%,Native Hawaiian and Other Pacific Islander Alone
Alaska,2021,6.00%,24.20%,Native Hawaiian and Other Pacific Islander Alone
Alaska,2020,4.70%,14.20%,Native Hawaiian and Other Pacific Islander Alone
Alaska,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Alaska,2018,7.70%,22.00%,Native Hawaiian and Other Pacific Islander Alone
Alaska,2017,3.10%,19.50%,Native Hawaiian and Other Pacific Islander Alone
Alaska,2016,4.80%,12.20%,Native Hawaiian and Other Pacific Islander Alone
Alaska,2015,3.10%,2.00%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2022,10.20%,25.70%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2021,34.60%,18.70%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2020,20.70%,22.40%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2019,6.60%,14.20%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2018,22.00%,29.60%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2017,21.40%,14.30%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2016,21.50%,20.90%,Native Hawaiian and Other Pacific Islander Alone
Arizona,2015,9.40%,32.30%,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2022,6.70%,7.30%,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2021,0.70%,0.30%,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2020,9.90%,15.00%,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2019,17.50%,5.40%,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2018,8.30%,6.00%,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2017,6.80%,1.70%,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Arkansas,2015,1.00%,0.00%,Native Hawaiian and Other Pacific Islander Alone
California,2022,22.80%,24.40%,Native Hawaiian and Other Pacific Islander Alone
California,2021,18.20%,21.60%,Native Hawaiian and Other Pacific Islander Alone
California,2020,21.60%,20.20%,Native Hawaiian and Other Pacific Islander Alone
California,2019,21.20%,20.20%,Native Hawaiian and Other Pacific Islander Alone
California,2018,22.20%,18.10%,Native Hawaiian and Other Pacific Islander Alone
California,2017,20.40%,21.10%,Native Hawaiian and Other Pacific Islander Alone
California,2016,21.40%,19.50%,Native Hawaiian and Other Pacific Islander Alone
California,2015,17.50%,16.20%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2022,47.60%,26.00%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2021,18.80%,14.80%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2020,25.30%,26.20%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2019,16.20%,18.00%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2018,26.40%,42.20%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2017,24.30%,40.00%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2016,18.30%,14.40%,Native Hawaiian and Other Pacific Islander Alone
Colorado,2015,16.80%,19.20%,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2020,42.60%,45.70%,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Connecticut,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Delaware,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Delaware,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Delaware,2020,12.80%,5.70%,Native Hawaiian and Other Pacific Islander Alone
Delaware,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Delaware,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Delaware,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Delaware,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Delaware,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Florida,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Florida,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Florida,2020,34.50%,90.50%,Native Hawaiian and Other Pacific Islander Alone
Florida,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Florida,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Florida,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Florida,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Florida,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Georgia,2022,23.70%,17.30%,Native Hawaiian and Other Pacific Islander Alone
Georgia,2021,34.60%,20.90%,Native Hawaiian and Other Pacific Islander Alone
Georgia,2020,15.90%,29.40%,Native Hawaiian and Other Pacific Islander Alone
Georgia,2019,21.50%,42.30%,Native Hawaiian and Other Pacific Islander Alone
Georgia,2018,9.90%,13.90%,Native Hawaiian and Other Pacific Islander Alone
Georgia,2017,26.00%,27.60%,Native Hawaiian and Other Pacific Islander Alone
Georgia,2016,21.80%,26.60%,Native Hawaiian and Other Pacific Islander Alone
Georgia,2015,26.90%,17.80%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2022,26.70%,8.00%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2021,20.40%,16.90%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2020,12.50%,25.30%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2019,16.10%,47.70%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2018,0.00%,20.70%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2017,17.30%,6.10%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2016,18.90%,21.00%,Native Hawaiian and Other Pacific Islander Alone
Hawaii,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Idaho,2022,13.60%,16.40%,Native Hawaiian and Other Pacific Islander Alone
Idaho,2021,8.70%,11.30%,Native Hawaiian and Other Pacific Islander Alone
Idaho,2020,12.60%,14.90%,Native Hawaiian and Other Pacific Islander Alone
Idaho,2019,10.00%,14.10%,Native Hawaiian and Other Pacific Islander Alone
Idaho,2018,11.50%,14.40%,Native Hawaiian and Other Pacific Islander Alone
Idaho,2017,12.60%,16.00%,Native Hawaiian and Other Pacific Islander Alone
Idaho,2016,11.40%,13.70%,Native Hawaiian and Other Pacific Islander Alone
Idaho,2015,12.40%,13.90%,Native Hawaiian and Other Pacific Islander Alone
Illinois,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Illinois,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Illinois,2020,11.70%,29.30%,Native Hawaiian and Other Pacific Islander Alone
Illinois,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Illinois,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Illinois,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Illinois,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Illinois,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Indiana,2022,12.50%,27.60%,Native Hawaiian and Other Pacific Islander Alone
Indiana,2021,27.40%,33.10%,Native Hawaiian and Other Pacific Islander Alone
Indiana,2020,26.20%,35.40%,Native Hawaiian and Other Pacific Islander Alone
Indiana,2019,34.90%,33.20%,Native Hawaiian and Other Pacific Islander Alone
Indiana,2018,50.30%,53.80%,Native Hawaiian and Other Pacific Islander Alone
Indiana,2017,22.70%,31.70%,Native Hawaiian and Other Pacific Islander Alone
Indiana,2016,23.20%,37.00%,Native Hawaiian and Other Pacific Islander Alone
Indiana,2015,12.50%,19.20%,Native Hawaiian and Other Pacific Islander Alone
Iowa,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Iowa,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Iowa,2020,19.80%,16.20%,Native Hawaiian and Other Pacific Islander Alone
Iowa,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Iowa,2018,25.00%,10.10%,Native Hawaiian and Other Pacific Islander Alone
Iowa,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Iowa,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Iowa,2015,37.70%,49.20%,Native Hawaiian and Other Pacific Islander Alone
Kansas,2022,5.10%,10.10%,Native Hawaiian and Other Pacific Islander Alone
Kansas,2021,13.10%,26.80%,Native Hawaiian and Other Pacific Islander Alone
Kansas,2020,17.10%,19.90%,Native Hawaiian and Other Pacific Islander Alone
Kansas,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Kansas,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Kansas,2017,7.40%,13.00%,Native Hawaiian and Other Pacific Islander Alone
Kansas,2016,9.50%,14.60%,Native Hawaiian and Other Pacific Islander Alone
Kansas,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2020,19.50%,20.60%,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Kentucky,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2020,7.70%,26.40%,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2018,0.00%,38.50%,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Louisiana,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Maine,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Maine,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Maine,2020,33.90%,30.10%,Native Hawaiian and Other Pacific Islander Alone
Maine,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Maine,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Maine,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Maine,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Maine,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Maryland,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Maryland,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Maryland,2020,0.00%,13.30%,Native Hawaiian and Other Pacific Islander Alone
Maryland,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Maryland,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Maryland,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Maryland,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Maryland,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2020,27.50%,19.80%,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2018,33.30%,3.50%,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Massachusetts,2015,35.20%,28.20%,Native Hawaiian and Other Pacific Islander Alone
Michigan,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Michigan,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Michigan,2020,35.70%,37.10%,Native Hawaiian and Other Pacific Islander Alone
Michigan,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Michigan,2018,33.90%,38.00%,Native Hawaiian and Other Pacific Islander Alone
Michigan,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Michigan,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Michigan,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2021,37.10%,32.90%,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2020,24.80%,19.70%,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2018,20.80%,32.00%,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2017,53.30%,28.70%,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2016,12.70%,11.20%,Native Hawaiian and Other Pacific Islander Alone
Minnesota,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2022,3.40%,31.40%,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2020,19.30%,16.70%,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2018,24.50%,23.80%,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Mississippi,2015,47.90%,39.80%,Native Hawaiian and Other Pacific Islander Alone
Missouri,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Missouri,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Missouri,2020,2.30%,40.30%,Native Hawaiian and Other Pacific Islander Alone
Missouri,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Missouri,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Missouri,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Missouri,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Missouri,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Montana,2022,6.00%,46.30%,Native Hawaiian and Other Pacific Islander Alone
Montana,2021,20.00%,22.40%,Native Hawaiian and Other Pacific Islander Alone
Montana,2020,16.70%,16.80%,Native Hawaiian and Other Pacific Islander Alone
Montana,2019,14.40%,19.30%,Native Hawaiian and Other Pacific Islander Alone
Montana,2018,30.60%,12.90%,Native Hawaiian and Other Pacific Islander Alone
Montana,2017,13.60%,41.40%,Native Hawaiian and Other Pacific Islander Alone
Montana,2016,23.20%,15.50%,Native Hawaiian and Other Pacific Islander Alone
Montana,2015,29.20%,13.80%,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2020,22.50%,19.80%,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Nebraska,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
Nevada,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
Nevada,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
Nevada,2020,14.60%,14.50%,Native Hawaiian and Other Pacific Islander Alone
Nevada,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
Nevada,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
Nevada,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
Nevada,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
Nevada,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2022,21.70%,19.40%,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2021,24.80%,10.30%,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2020,14.00%,17.20%,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2019,18.50%,20.50%,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2018,16.00%,21.00%,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2017,11.80%,11.20%,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2016,12.80%,14.30%,Native Hawaiian and Other Pacific Islander Alone
New Hampshire,2015,7.70%,9.30%,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2021,N,N,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2020,46.60%,14.50%,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2019,N,N,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2018,N,N,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2017,N,N,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2016,N,N,Native Hawaiian and Other Pacific Islander Alone
New Jersey,2015,N,N,Native Hawaiian and Other Pacific Islander Alone
New Mexico,2022,N,N,Native Hawaiian and Other Pacific Islander Alone
